date,time,location,address,notes
2026-05-10,7:00 AM - 2:00 PM,The Regional Market,"2100 Park Street, Syracuse, NY 13208",Join us at the CNY Regional Market Syracuse, NY.
2026-05-12, 10:00 AM - 6:30 PM, Onondaga Central School District, "4479 S Onondaga Road, Nedrow, NY 1312", Join us at the Onondaga High School. 
2026-06-05, 12:30 PM - 2:30 PM,Tiger Day, "4479 S Onondaga Road, Nedrow, NY 1312", Join us for Tiger Day. 
2026-06-05,04:00 PM - 11:00 PM,Marcellus Park - Olde Home Days,"Marcellus Park Platt Road, Marcellus, NY",Join us at the Marcellus Park - Olde Home Days event.
2026-06-06,01:00 PM - 11:00 PM,Marcellus Park - Olde Home Days,"Marcellus Park Platt Road, Marcellus, NY",Join us at the Marcellus Park - Olde Home Days event.
2026-06-07,01:00 PM - 5:00 PM,Marcellus Park - Olde Home Days,"Marcellus Park Platt Road, Marcellus, NY",Join us at the Marcellus Park - Olde Home Days event.
2026-06-18,3:30 PM - 8:30 PM, A Private Event, private event. 
2026-06-19, 12:00 PM - 10:00 PM, Eat Local New York And Friends Festival, "Syracuse Inner Harbor", Join us at the Eat Local New York And Friends Festival. 
2026-06-20, 12:00 PM - 10:00 PM, Eat Local New York And Friends Festival, "Syracuse Inner Harbor", Join us at the Eat Local New York And Friends Festival. 
2026-07-02, 5:30 PM - 09:00 PM, Skaneateles Community Center, "97 State St Skaneateles, NY", Join us at the Skaneateles Community Center. 
2026-07-03, 08:00 AM - 05:00 PM, Lafeyette Motorsport Park,"4930 US-20, Lafayette, NY 13084", Join us at the Lafeyette Motorsport Park.
2026-07-04, 08:00 AM - 05:00 PM, Lafeyette Motorsport Park,"4930 US-20, Lafayette, NY 13084", Join us at the Lafeyette Motorsport Park.
2026-07-05, 08:00 AM - 05:00 PM, Lafeyette Motorsport Park,"4930 US-20, Lafayette, NY 13084", Join us at the Lafeyette Motorsport Park.
2026-07-11, 06:00 PM - 09:00 PM, Private Event, "Nedrow, NY", Private Event. 
2026-07-15, 04:00 PM - 07:00 PM, Harvest Winery, "2307 NY-12B, Hamilton, NY 13346", Join us at the Hamilton Harvest Winery. 
2026-07-24, 10:00 AM - 06:00 PM, Syracuse Arts and Craft Fair, "Downtown Syracuse", Join us at the Syracuse Arts and Craft Fair. 
2026-07-25, 10:00 AM - 05:00 PM, Syracuse Arts and Craft Fair, "Downtown Syracuse", Join us at the Syracuse Arts and Craft Fair. 
2026-07-26, 10:00 AM - 05:00 PM, Syracuse Arts and Craft Fair, "Downtown Syracuse", Join us at the Syracuse Arts and Craft Fair. 
2026-08-01, 09:00 AM - 02:00 PM, Cavalry Country Club, "4801 Troop K Rd, Manlius, NY 13104", Join us at the Cavalry Country Club. 
2026-08-13, 04:00 PM - TBD, Papermill Island, "136 Spensieri Ave Baldwinsville, NY  13027", Join us at the Papermill Island. 
2026-09-16, 04:00 PM - TBD, Papermill Island, "136 Spensieri Ave Baldwinsville, NY  13027", Join us at the Papermill Island. 
